id,searched_keywords,searched_location,profile_crawled,title,currated_title,company,location,description,seniority,employent_type,job_function,industry
painter at search consultancy 2590867268,Painter,,TRUE,Painter,painter,Search Consultancy,"Glasgow, Scotland, United Kingdom",Valid CSCS Card Two working references,,,,
painter at bladerecruitment 2582194613,Painter,"London, England, United Kingdom",TRUE,Painter,painter,,"Carshalton, England, United Kingdom","Carrying out painting works around the Carshalton area.Working in domestic properties, general painting works to the inside and outside areas and decorating.Ideal candidates for the Painter Job will have good painting experience.The Painter will need own transport to get to the properties.Own tools required.Must have good communication skills.The Painter Job is temporaryCould lead to a permanent jobPay between 16-18 per hourParking availableMonday to Friday 8am-4pm",,,,
painter at randstad construction property and engineering 2549762014,Painter,"London, England, United Kingdom",TRUE,Painter,painter,,"Harrow, England, United Kingdom","Contract type: Freelance Start date: ASAP Salary/Rate: £ negotiable and dependant upon experience Randstad CPE contact: Tom, Trades Team onYou will need a current and valid CSCS card and relevant tickets. Some previous experience is preferred but not essential.A competitive pay rate (PAYE or Umbrella) Opportunity for ongoing work. Access to Randstad's training department.",,,,
painter borough at page personnel 2560075874,Painter,"London, England, United Kingdom",TRUE,Painter   Borough,painter,Page Personnel,"London, England, United Kingdom",New Painting and Decorating role - based near Borough Painting and Decorating role,,,,
painter exeter at resourcing group 2567053188,Painter,,TRUE,Painter   Exeter,painter,Resourcing Group,"Exeter, England, United Kingdom",Experienced Painter Own tools CSCS card,,,,
painter holiday inn brentford lock at bdl hotels 2582230657,Painter,"London, England, United Kingdom",TRUE,Painter   Holiday Inn Brentford Lock,painter,BDL Hotels,"Brentford, England, United Kingdom",,,,,
painter plymouth at resourcing group 2567053176,Painter,,TRUE,Painter   Plymouth,painter,Resourcing Group,"Exeter, England, United Kingdom",Experienced Painter Own tools CSCS card,,,,
painter reading at morson group 2600874868,Painter,,TRUE,Painter Reading,painter,Morson Group,"London, England, United Kingdom",,,,,
painter reading at morson group 2575723545,Painter,,TRUE,Painter Reading,painter,Morson Group,"Reading, England, United Kingdom",,,,,
painter reading at morson group 2600877160,Painter,,TRUE,Painter Reading,painter,Morson Group,"London, England, United Kingdom",,,,,
painter reading at morson group 2601257599,Painter,,TRUE,Painter Reading,painter,Morson Group,"London, England, United Kingdom",,,,,
painter decorator at trade team recruitment 2593642200,Painter,,TRUE,Painter   Decorator,painter,,"Alloa, Scotland, United Kingdom",Work would include general refurbishment of properties.General painting duties must be to a high standard.Ongoing work.The pay rate depends upon experience.£11 - £16,Entry level,Full-time,"Design, Art/Creative, and Information Technology","Construction, Staffing and Recruiting, and Facilities Services"
painter decorator soho house central london at mygwork lgbt 2B professionals allies 2591452880,Painter,"London, England, United Kingdom",TRUE,"Painter   Decorator   Soho House, Central London",painter,myGwork - LGBT+ professionals & allies,"London, England, United Kingdom",,,,,
painter decorator soho house central london at soho house co 2456682825,Painter,,TRUE,"Painter   Decorator   Soho House, Central London",painter,Soho House & Co,"London, England, United Kingdom","Painting NVQ 3 or comparable experience Good spoken and written English. Good presentation, organisation and clean working The ability to work as part of team or alone and adherence to deadlines. Be eligible to work in the UK on full time basis. Must be flexible to work on rota basis, early mornings and occasional nights Previous maintenance experience in hospitality industry is preferable. Basic experience in electricity, plumbing or carpentry.To ensure all areas are maintained to high standard Painting and hanging wallpaper, caulking, including filling, sanding and applying finish. Resurfacing and finishing tables and chairs plus minor woodwork repairs To carry out maintenance tasks as directed by the Maintenance Manager. To ensure workshop and working areas are clean and tidy at all times. To keep account of stock and equipment. To comply with all H&S and Statutory regulations in force. Carry out other duties that may be necessary from time to time.One of the most competitive salaries within the hospitality industryFantastic career growth and personal development opportunities, with an opportunity to travel abroad with us Meal on shiftOur food and drinks network, Cookhouse & House Tonic. which offers a monthly calendar of interactive trainings, guest demonstrations from industry professionals, sourcing and tasting trips and our own in-house magazineSubsidised gym memberships, pension and great discounts across our sites",,,,
painter decorator residential refurbishment at complex recruitment ltd 2597565053,Painter,"London, England, United Kingdom",TRUE,PAINTER   DECORATOR RESIDENTIAL REFURBISHMENT,painter,Complex Recruitment Ltd,"London, England, United Kingdom",CSCS REQUIREDTO BE CONSIDERED FOR THIS POSITION YOU MUST COMPLY WITH THE FOLLOWING:,Entry level,Full-time,"Design, Art/Creative, and Information Technology","Construction, Staffing and Recruiting, and Transportation/Trucking/Railroad"
painter decorator residential refurbishment in london uk at complex recruitment ltd 2594202721,Painter,,TRUE,"PAINTER   DECORATOR RESIDENTIAL REFURBISHMENT in London, UK",painter,Complex Recruitment Ltd,"London, England, United Kingdom",,,,,
painter decorator at osp group ltd 2597516827,Painter,"London, England, United Kingdom",TRUE,Painter and Decorator,painter,OSP Group Ltd,"London, England, United Kingdom",,,,,
painter decorator at gov facility services ltd gfsl 2596687279,Painter,,TRUE,Painter and Decorator,painter,Gov Facility Services Ltd (GFSL),"Oxfordshire, England, United Kingdom","Painting and decorating staff and prisoner facilities in the estateTo ensure maintenance and small repairs are carried outTo undertake survey inspections including in confined spaces and at height recording all work and completing associated registers/logsTo drive estates vehicles and operate plant equipmentTo carry out locking duties as requiredTo undertake incidental and emergency or urgent tasks and assignmentsMust hold a City & Guilds, National Vocational Qualification (NVQ) Level 3 in Painting and decorating or an equivalent qualificationSubstantiated experience in similar role can be considered as alternative to formal qualificationMust be able to display competency in the use and operation of all associated power tools and machinery",Entry level,Contract,"Design, Art/Creative, and Information Technology","Construction, Staffing and Recruiting, and Facilities Services"
painter decorator at a b group ltd 2561544569,Painter,,TRUE,Painter and Decorator,painter,,"London Area, United Kingdom",,,,,
painter decorator at resourcing group 2574460066,Painter,"London, England, United Kingdom",TRUE,Painter and Decorator,painter,Resourcing Group,"London, England, United Kingdom",,,,,
painter decorator at gd parvin painters decorators ltd 2588373195,Painter,"London, England, United Kingdom",TRUE,Painter and Decorator,painter,,"London, England, United Kingdom",,,,,
painter decorator at randstad construction property and engineering 2598655303,Painter,"London, England, United Kingdom",TRUE,Painter and Decorator,painter,,"London, England, United Kingdom",Painting Doors and Skirting Painting Walls and ceilings. Using Gloss and other paints,Entry level,Full-time,"Design, Art/Creative, and Information Technology","Construction, Staffing and Recruiting, and Real Estate"
painter decorator at skillbase 2601747595,Painter,"London, England, United Kingdom",TRUE,Painter and Decorator,painter,Skillbase,"London, England, United Kingdom",,,,,
painter decorator at core group 2597580593,Painter,"London, England, United Kingdom",TRUE,Painter and Decorator,painter,Core Group,"London, England, United Kingdom",,,,,
painter decorator at resourcing group 2570553330,Painter,"London, England, United Kingdom",TRUE,Painter and Decorator,painter,Resourcing Group,"London, England, United Kingdom",,,,,
painter decorator at blade recruitment 2558283006,Painter,"London, England, United Kingdom",TRUE,Painter and Decorator,painter,Blade Recruitment,"London, England, United Kingdom",Filling and sand holes before painting.Carry out painting and decorating includes the walls and ceilings.The Painter will also carry out some wallpapering.Preferred candidate for the Painter and Decorator job will have previous experience working in a hotel or commercial environment.Able to carry out painting and decorating to a high standard.Be well presented and have good communication skills.,,,,
painter decorator at red sky personnel 2584736582,Painter,"London, England, United Kingdom",TRUE,Painter and Decorator,painter,Red Sky Personnel,"London, England, United Kingdom",Time served Painter & Decorator or qualified.Own tools- materials to be supplied by client.3-4 days work starting 7th June. £155/ day paid via CIS08:00- 17:00,Entry level,Full-time,"Design, Art/Creative, and Information Technology","Construction, Staffing and Recruiting, and Hospital & Health Care"
painter decorator at harbour jones 2591650145,Painter,"London, England, United Kingdom",TRUE,Painter and Decorator,painter,Harbour & Jones,"Richmond, England, United Kingdom",Excellent progression opportunities within the Harbour Hotels Group Individual and bespoke career and progression pathways Competitive salary across all roles Unique on the job training and development with an opportunity for internal promotions within any of our properties. Hotel stay and Food and Beverage discounts across the Harbour Hotels Group Access to an exciting benefits and discount platform Employee Assistance Program Stylish boutique uniform specially designed for Harbour Hotels Meals included whilst on duty,,,,
painter decorator in bristol uk at colston s school 2581596055,Painter,,TRUE,"Painter and Decorator in Bristol, UK",painter,Colston's School,"Bristol, England, United Kingdom",,,,,
painter decorator in london uk at gov facility services ltd gfsl 2594201817,Painter,,TRUE,"Painter and Decorator in London, UK",painter,Gov Facility Services Ltd (GFSL),"London, England, United Kingdom",,,,,
painter decorators at planet decorators 2563663289,Painter,,TRUE,Painter and Decorators,painter,Planet Decorators,Greater Glasgow Area,,,,,
painter amp decorator at uk recruiting ltd 2588794805,Painter,,TRUE,Painter andamp; Decorator,painter,UK Recruiting Ltd,"Cambridge, England, United Kingdom",Must have own tools Being able to work with a team Having good communication skills Be thorough and pay attention to detail Flexible and open to changeCSCS Card PPE Proof of right to work in UK,Entry level,Full-time,"Design, Art/Creative, and Information Technology",Construction
painter amp decorator at a1 jobs ltd 2581362512,Painter,,TRUE,Painter andamp; Decorator,painter,A1 Jobs Ltd,"Glasgow, Scotland, United Kingdom",,,,,
painter amp decorator at triton recruitment 2595798864,Painter,,TRUE,Painter andamp; Decorator,painter,Triton Recruitment,"North Yorkshire, England, United Kingdom",,,,,
painter and decorator at hilton 2586452162,Painter,,TRUE,Painter and Decorator,painter,Hilton,"London, England, United Kingdom","Carry out daily maintenance and repairsPaint and decorate in the hotelEnsure wallpapering is executed properlyEnsure all duties comply with hotel/company workmanship standards and Health and Safety standardsExamine finished surfaces of work pieces and retouch any defective areasMaintain tools and equipment, using solvents, brushes, and ragsKnowledge and experience of the rolePositive attitudeGood communication skillsCommitted to delivering a high level of customer serviceExcellent grooming standardsQualification in a relevant fieldFlexibility to respond to a range of different work situationsAbility to work under pressureAbility to work on their ownPrevious experience in a similar role",,,,
painter and decorator at st edwards 2596690142,Painter,,TRUE,Painter and Decorator,painter,,"Oxford, England, United Kingdom",,,,,
painter and decorator at aml highland 2594467789,Painter,,TRUE,Painter and Decorator,painter,AML Highland,Greater Aberdeen Area,,,,,
painter and decorator at activus recruitment ltd 2571597887,Painter,,TRUE,Painter and Decorator,painter,Activus Recruitment Ltd,"Aberdeen, Scotland, United Kingdom",,,,,
painter and decorator at alfred bagnall and sons limited 2600977378,Painter,"London, England, United Kingdom",TRUE,Painter and Decorator,painter,ALFRED BAGNALL AND SONS LIMITED,"London, England, United Kingdom",,,,,
painter and decorator at ian williams ltd 2561934131,Painter,"London, England, United Kingdom",TRUE,Painter and Decorator,painter,Ian Williams Ltd,"South Lambeth, England, United Kingdom","Guaranteed weekly paid earnings based on the 39 hours working week, with annual pay reviewsThe opportunity to enhance basic pay through a productivity based bonus scheme22 days paid holiday per year plus bank holidaysTravel allowanceEnhanced maternity/paternity payWe want to support our employees to achieve a great work life balance. We consider a variety of working patterns, and are happy to discuss flexible working in relation to this vacancy.You will be completing all internal and/ or external decorations within public environments, including social housing To ensure work is completed efficiently, on time and to a high standard you will be incentivised with bonus schemesYou thrive off building relationships while you will be working on public sites. Contributing to a positive team working environment and ensuring our customers feel safe and comfortable in your company. Health and Safety is at the forefront of all you do, considering yourself, the team and the customers around youQualified to an NVQ Level 2 in Painting, or similar professional bodyExcellent customer service skills and strong commitment to retaining these standards whilst working in the professional environment.Motivated in your approach to work, and able to work to individual and team output targetsPossession of a full current UK Driving licence, which is essential to undertake the role, with use of their own vehiclePension contributionsIndustry sick payRegular training and performance reviews, allowing for the opportunity to develop within your role, and progress within the businessFunding towards job relevant qualificationsPreferred company supplier trade discountsAccess to the EAP (Employee Assistance Programme), to support your health and wellbeing",,,,
painter and decorator at city inn 2600867486,Painter,"London, England, United Kingdom",TRUE,Painter and Decorator,painter,City Inn,"London, England, United Kingdom","To assist the Maintenance Manager in up-keep of the Hotel. Carry out a preventative maintenance plan on an annual basis. Maintain painted interior surfaces, trimmings and fixtures. Carry out regaluar stock taking of paints and materials for your Manager. To ensure that all painting and decorating jobs are completed to the Companies highStandard To assist you Maintenance Manager with other duties outside your usual schedule if required. To ensure that all areas are left clean and tidy on completion of the job. Ensure a high standard of personal hygiene and grooming. Observe all of the requirements under the Health and Safety at Work Act (1989)Well-Tailored Uniforms Meals on duty Social Activities (Staff Summer/Winter event) Monthly engagement activities Annual Charity Event Day Training and Development opportunities through our `Grow` L&D Programme Employee of the month & Overall Employee of the Year, Gala dinner Discounted accommodation rates for staff members and reduced rate for friends and family Food Discount - 50% off total lunch or dinner bills when staying in one of our hotels 28 days holiday entitlement including bank holidays, increasing with service to a maximum of 33 days Pension Scheme- Contributory Group Personal Pension Plan Flexible working hours Earn up to £1000 for recommending a friend to work for us Birthday cards every year Life Assurance No split shifts",Entry level,Full-time,"Design, Art/Creative, and Information Technology","Food & Beverages, Leisure, Travel & Tourism, and Hospitality"
painter and decorator temp contract at page personnel 2517965013,Painter,"London, England, United Kingdom",TRUE,Painter and Decorator   Temp Contract,painter,Page Personnel,"London, England, United Kingdom","Excellent work opportunity.Competitive ratesWorks as part of a team, supporting and respecting other team members, to deliver exceptional resident living.Communicate effectively with customers, clients and colleagues; demonstrating a clear understanding of the issue and using initiative to respond accordinglyAdminister all property maintenance & records in accordance with company policies and procedures.Understand and respond to health and safety matters in an appropriate & timely mannerMove furniture and heavy items from location to location on site as required Highlight and assist with the management of any community works. Look to maximise efficiency of utilities.Experience of Painting and Decorating.Compliance with all operating systems, policies & procedures.Helpful, friendly personality with effective communication skillsBehave in a professional, courteous and helpful manner towards colleagues and residents at all timesAdopt a team work approachA flexible approach to workPositive attitude and ability to work with little supervision",,,,
painter and decorator asap start at page personnel 2526496491,Painter,,TRUE,Painter and Decorator Asap Start,painter,Page Personnel,"Guildford, England, United Kingdom",Immediate start competitive RateCommercial painting and decorating. Specialist coatings. Fixtures and fittings Fibre glass hanging.Must have an in date CSCS Card. Must have previous experience in a similar role.minimum 8 weeks contractRegular work offers from this client.,,,,
painter and decorator in london uk at opun 2595921158,Painter,,TRUE,"Painter and Decorator in London, UK",painter,Opun,"London, England, United Kingdom",,,,,
painter automotive at goswell ltd 2591596774,Painter,,TRUE,Painter automotive,painter,Goswell Ltd,"Wilton, England, United Kingdom",,,,,
painter decorator at elements kitchens ltd 2600926390,Painter,,TRUE,Painter Decorator,painter,,"Reading, England, United Kingdom",,,,,
painter decorator at elements kitchens 2600952383,Painter,,TRUE,Painter Decorator,painter,Elements Kitchens,"Reading, England, United Kingdom",,,,,
painter decorator at elements kitchens ltd 2576508472,Painter,,TRUE,Painter Decorator,painter,,"England, United Kingdom",,,,,
painter decorator at approved workforce 2599760391,Painter,,TRUE,Painter Decorator,painter,Approved Workforce,"Shobdon, England, United Kingdom",,,,,
painter decorator at synergy personnel limited 2597554782,Painter,"London, England, United Kingdom",TRUE,Painter Decorator,painter,Synergy Personnel Limited,"London, England, United Kingdom",CSCS Own tools and whites Experience working on public facing roles,,,,
painter decorator at blade recruitment 2597500200,Painter,"London, England, United Kingdom",TRUE,Painter Decorator,painter,Blade Recruitment,"London, England, United Kingdom",,,,,
painter decorator at jsm specialist services ltd 2597596153,Painter,"London, England, United Kingdom",TRUE,Painter Decorator,painter,,"Chislehurst, England, United Kingdom",,,,,
painter decorator at clearpath consultancy 2597531974,Painter,"London, England, United Kingdom",TRUE,Painter Decorator,painter,,"London, England, United Kingdom",CSCS card required Minimum 1 years experience 9hr days £140 - £160 per day,,,,
painter decorator at osp group ltd 2597510695,Painter,"London, England, United Kingdom",TRUE,Painter Decorator,painter,OSP Group Ltd,"London, England, United Kingdom",,,,,
painter for nordic mari at v group 2566570322,Painter,,TRUE,Painter for NORDIC MARI,painter,V.Group,"England, United Kingdom",,,,,
painter job in cambridge at madigan gill 2601744631,Painter,,TRUE,Painter Job in Cambridge,painter,,"Cambridgeshire, England, United Kingdom","Hold a CSCS Card Have experience working in the UK construction industry or in a maintenance role and be able to provide references to support this Have all own tools for applicable disciplines Have all own PPE (Personal Protective Equipment - Hard hat, boots, hi-vis, gloves & goggles)",,,,
painter needed luton at tech people 2597593662,Painter,,TRUE,Painter needed Luton,painter,Tech People,"Bedfordshire, England, United Kingdom",,,,,
painter required at teamforce labour ltd 2597601388,Painter,,TRUE,Painter required,painter,,"London, England, United Kingdom",Minimum 2 years experience CSCS IPAF or Harness,,,,
painter required in central london at mcg construction 2597512283,Painter,"London, England, United Kingdom",TRUE,Painter required in Central London,painter,MCG Construction,"London, England, United Kingdom",,,,,
painter decorator at green apple building services limited 2547884655,Painter,,TRUE,Painter Decorator,painter,GREEN APPLE BUILDING SERVICES LIMITED,"West End, England, United Kingdom",,,,,
painters at premier recruitment solutions ltd 2595753556,Painter,,TRUE,Painters,painter,Premier Recruitment Solutions Ltd,"London, England, United Kingdom",Painting hoardingsValid CSCS qualification,Entry level,Full-time,"Design, Art/Creative, and Information Technology","Construction, Automotive, and Staffing and Recruiting"
painters at mpl site services ltd 2584751757,Painter,,TRUE,Painters,painter,MPL Site Services Ltd,"Woking, England, United Kingdom",,,,,
painters london in london uk at managed solutions 2581596065,Painter,,TRUE,"Painters   London in London, UK",painter,,"London, England, United Kingdom","London Energy Jobline would like to introduce the role of PaintersLondon based in London, UK. If you think you are a suitable match for this role, please hit the apply button for more details. MondayFriday Duties:Preparing painting surfaces by washing walls, repairing holes, or removing old paint.Mixing, matching, and applying paints and other finishes to various surfaces ... PLEASE NOTE: This job is supplied by a trusted partner. In order to read the full job description please click the 'apply' button. If you are a registered site member with an uploaded CV, you will be passed straight through. If not, then you will be asked to register a free account with us.",,,,
painters pts lul at mansion recruitment ltd 2597556137,Painter,"London, England, United Kingdom",TRUE,Painters PTS and LUL,painter,Mansion Recruitment Ltd,"London, England, United Kingdom",,,,,
painters in london at proman recruitment 2571594730,Painter,,TRUE,Painters in London,painter,,"England, United Kingdom",Weekly Pay   Long-term workPrevious experience as painter  Motivated and good attitude to work as part of a team  Eligibility to Live and Work in the UK   Tools,Entry level,Full-time,"Design, Art/Creative, and Information Technology","Construction, Staffing and Recruiting, and Retail"
painters required at mpl 2558625783,Painter,,TRUE,Painters required,painter,MPL,"Enfield, England, United Kingdom",,,,,
painters exeter at mpl site services ltd 2598747737,Painter,,TRUE,PAINTERS  EXETER,painter,MPL Site Services Ltd,"Walton-on-Thames, England, United Kingdom",,,,,
security guard at ambience recruitment 2550599313,Security Guard,,TRUE,Security Guard,security_guard,Ambience Recruitment,"Slough, England, United Kingdom",Right to workSIA badgeCV (optional),,,,
security guard at femida security services 2548577578,Security Guard,,TRUE,Security Guard,security_guard,Femida Security Services,"Bracknell, England, United Kingdom",,,,,
security guard at cerberus security industries 2590392600,Security Guard,,TRUE,Security Guard,security_guard,Cerberus Security Industries,"County Durham, England, United Kingdom",,Full-time,,,
security guard at arsenal f c 2595751084,Security Guard,,TRUE,Security Guard,security_guard,Arsenal F.C,"London, England, United Kingdom",,,,,
security guard at emcor facilities services 2583114528,Security Guard,,TRUE,Security Guard,security_guard,EMCOR Facilities Services,"Newcastle upon Tyne, England, United Kingdom",,,,,
security guard at setsquare recruitment 2580673338,Security Guard,,TRUE,Security Guard,security_guard,Setsquare Recruitment,"London, England, United Kingdom",,,,,
security guard at vgc 2590612832,Security Guard,,TRUE,Security Guard,security_guard,,"Deeside, Wales, United Kingdom",,,,,
security guard at orbit infinity group 2578769174,Security Guard,,TRUE,Security Guard,security_guard,,"Southampton, England, United Kingdom",,,,,
security guard at hvac recruitment limited 2595807009,Security Guard,,TRUE,Security Guard,security_guard,HVAC Recruitment Limited,"Gloucestershire, England, United Kingdom",,,,,
security guard at 1st class protection limited 2597603464,Security Guard,"London, England, United Kingdom",TRUE,Security Guard,security_guard,1ST CLASS PROTECTION LIMITED,"London, England, United Kingdom","Public buildings Construction sites Residential areas, apartment buildings and private homes Corporate offices Schools and nurseries Places of worship, i.e. synagoguesManned guarding Vehicle or foot patrols Concierge",Entry level,Full-time,"Other, Information Technology, and Management","Construction, Security and Investigations, and Real Estate"
security guard at cyberfort group 2597571285,Security Guard,,TRUE,Security Guard,security_guard,Cyberfort Group,"Ash, England, United Kingdom","Monitoring of all security systems and escalating any events Escorting visitors to the datacentre and site Internal patrols of site and bunker Logging staff and visitors on and off site Logging access to site and datacentre Raising and processing all client visits for business sites Responsible for monitoring CCTV for business sites and escalating any physical security incidents Issuing and logging keys Carry out tape rotations and remote hands tasking Answering phones and dealing with customer enquiries Be prepared to do overtime as requiredA basic knowledge and understanding of computers, sending mail and using word documents Excellent communication skills Good planning and co-ordination skillsExcellent telephone manner Communicates with confidence and conviction Customer focused ability to manage customer expectations Self-motivated and able to work under own initiative Has ability to take ownership and works well in a team environment Work with an open and honest approach to our clients and colleagues, garner opinions and ideas and give due consideration, act upon decisions and feedback on outcomes. Trust each other to do the right thing, take pride in your actions and celebrate successes. Collaborate and play to everyone’s collective strengths. Respect for each other’s differences, give honest feedback and be accountable for your actions, act positively to grow and develop yourself and your colleagues. Approach change with curiosity, openness and energy. Move forwards by learning quickly and be brave and confident in the decisions you and others make. Recognise and celebrate yours and others successes.Your CV A Cover Letter, explaining a little more about you, your skills and why you’re interested in a career with the Cyberfort Group",,,,
security guard at lucas oliver recruitment 2578458732,Security Guard,,TRUE,Security Guard,security_guard,,"London, England, United Kingdom","Carry out vehicle searches. Act as a traffic marshall by enssuring vehicles are being directed in and out of the yard in a safe and timely manner. Keep an eye on the till area and monitor staff when doing till transactions. Patrol all areas of the shop and yard, including blind spots. Log all incidents and discuss with manager on a weekly basis. Carry out random spot checks on staff bags excluding office staff. Check premises at close of day and leave with the last member of staff. Check delivery tickets on company vehicles. Mature and responsible attitude to work. Honesty and integrity. Good observational skills. Excellent communication skills, both verbal and written. The ability to handle sensitive situations. Polite and helpful attitude. Physical fitness. The ability to use initiative and make quick decisions. Previous experience in a similar role. Clean reference check. Smart appearance",,,,
security guard at dynamic resourcing 2601736813,Security Guard,,TRUE,Security Guard,security_guard,,"Kent, England, United Kingdom","Provide a visible uniformed deterrent, to contribute to the safety and security of the client’s premises and staff. Observe and report to incidents using the correct reporting system; Carry out all duties assigned by a Client or Manager to whom you are responsible; Ensure that site knowledge is kept up to date and developments at local level are identified; Know and implement any Fire and Safety evacuation procedures; Assist, if required by client, with staff and contractor searches. To carry out patrols and checks of building as per site requirements Must have SIA license and a valid DBS Certificate",,,,
security guard at howdens 2595437601,Security Guard,,TRUE,Security Guard,security_guard,Howdens,"Holme-on-Spalding-Moor, England, United Kingdom","Possesses a full clean driving licenceAn understanding of CCTV systems operation is essentialComputer literate with a good understanding of Microsoft packagesAble to demonstrate initiative whilst interacting with wider workforce.Demonstrate an appetite to learn and attend training courses for example Fist Aid and Fire MarshallWillingness to learn how to manage the vehicle booking in systemHowdens Issue – PPE Footwear, Ear Protection, High Visibility clothing, PPE for task Specific.",,,,
security guard at hvac recruitment limited 2597599530,Security Guard,,TRUE,Security Guard,security_guard,HVAC Recruitment Limited,"Worcestershire, England, United Kingdom",,,,,
security guard at securitay limited 2560036196,Security Guard,,TRUE,Security Guard,security_guard,Securitay Limited,"Peterhead, Scotland, United Kingdom",,,,,
security guard 6 month fixed term at g4s 2585133095,Security Guard,,TRUE,Security Guard   6 month fixed term,security_guard,G4S,"Greater Manchester, England, United Kingdom","Meeting and Greeting. Searching of visitors and monitoring X-Ray. Building patrols, internal and external. Managing Car Park access. Responding to Incidents arising and completing Incident Reports. Preparing Visitor passes.SIA Security Officer or Door Supervisor Badge. Communication Skills. Good written and spoken English.",Not Applicable,Full-time,"Other, Information Technology, and Management",Security and Investigations
security guard sia at resourcing group 2567053248,Security Guard,,TRUE,Security Guard SIA,security_guard,Resourcing Group,"London, England, United Kingdom",,,,,
security guard for piano land at v group 2515024307,Security Guard,,TRUE,SECURITY GUARD for PIANO LAND,security_guard,V.Group,"England, United Kingdom","Monitors security aboard the ship 24/7 alternating day and night shifts Presents to the Chief/Deputy Security Officer the log of activities during the night time hours Performs regular safety rounds of public, crew and off-limit areas of the ship Conducts frequent security inspections of the crew quarters during his/hers duty hours Must be trained in fire prevention and basic fire-fighting techniques and in case of discovering a fire to be able to access properly situation and act accordingly until arrival of the dedicated fire-fighting team Must be familliar with the use and location of all safety and security related equipment aboard the vessel Must prevent or report to the superior Security Officer any abuse of ship's property or regulations that may occur Conducts random and scheduled crew cabin checks, alcohol and illegal drugs test as directed by the Chief Security Officer and the Staff Captain While on duty, the Security Guard must be always be alert and ready to take emergency action depending on the situation Attends meetings, training activities and courses as required by the cruise line regulations Assists the Chief/Deputy Security Officer in basic safety and security training of the rest of the officers, staff and crew aboard the shipExperience in the field of Security and firearms handling skills are required  Military or/and Police background is preferred  Experience in a role of Security Guard aboard ship is a must  Knowledge of other language(s) is a plus  Ability to work in mutlicultural environment",Entry level,Full-time,"Other, Information Technology, and Management","Food & Beverages, Oil & Energy, and Hospitality"
security guard roles in birmingham at city calling 2599695421,Security Guard,,TRUE,Security Guard roles in Birmingham,security_guard,City Calling,"London, England, United Kingdom",,,,,
security guards at marvel international group 2583576528,Security Guard,,TRUE,Security Guards,security_guard,Marvel International Group,"London, England, United Kingdom","Secure premises and personnel by patrolling property; monitoring surveillance equipment; inspecting buildings, equipment, and access points; permitting entry Prevent losses and damage by reporting irregularities; informing violators of policy and procedures; restraining trespassers Communicating with and assisting the public Complete reports by recording observations, information, occurrences, and surveillance activities; interviewing witnesses; obtaining signatures Maintain environment by monitoring and setting building and equipment controls Maintain organization’s stability and reputation by complying with legal requirements Ensure operation of equipment by completing preventive maintenance requirements; following manufacturer’s instructions; troubleshooting malfunctions; calling for repairs; evaluating new equipment and techniques Contribute to team effort by accomplishing related results as neededProgression Training Gym membership Free refresher training Pension Double time for bank holidays Overtime available Excellent work culture.Experience of the Security Industry is Preferred and will affect Enhancement/Pay Rate Applicants must hold an SIA Badge Report writing skills essential Present ability Physical Patrols necessary Visual Patrols (CCTV License not essential) Excellent communication skills required Setting and un-setting alarms and locking up procedures necessary Driving license and own car beneficial but not essential",,,,
security guards at career berry 2592111837,Security Guard,"London, England, United Kingdom",TRUE,Security guards,security_guard,Career Berry,"London, England, United Kingdom","To be in possession of a valid TIP Driving license and motorcycle driving experience. Minimum education: Compulsory Secondary Education. Minimum experience of 1 year.SecuritySurveillanceShopping centerParkingSurveillance services in parking lots and / or various stores in the capital. Motorcycle rounds in different centers and parking surveillance. Displacements between stores. Protection of goods and people, surveillance and control of customer facilities. Ensure proper compliance with the internal rules of our customers, control access, identification of persons, prevent criminal acts and collaborate with the State Security Forces and Bodies.",,,,
security hotel manager at g4s 2512381544,Hotel Manager,"London, England, United Kingdom",TRUE,Security Hotel Manager,security_guard,G4S,"London, England, United Kingdom","Overall responsibility for the day to day operations at the Hotel The safety, security and service of the site, employees, guests, and property Responsible for the workforce management of the G4S security personnel employed at the Quarantine Hotel. This includes ownership of scheduling, operational compliance, recruitment, coordination of disciplinary procedures, absence management and Training Develop and maintain accurate Assignment Instructions, Operational Processes, Procedures and Risk Assessments Administration of the various software packages relating to site systems used by the security and administration team Daily/ Weekly/ Monthly reporting to G4S and MQS in line with the agreed reporting statistics and format Ensure that all policies and procedures in place are compliant with legislative requirements and kept up to date Ensure the security team understands and remains compliant with all aspects of Health & Safety procedures and use of PPE in a COVID environment. Drive the highest standards in customer service and the provision of security Maintain professional relationships and gain trust with all relevant MQS project and Hotel stakeholders.Excellent customer service  Demonstrable planning and organisational skills  Smart in appearance  A ‘can do’ attitude  Flexible and reliable approach to work A valid SIA licence Effective communication skills verbal and written  Managing violence and aggression, de-escalation and assault avoidance Attention to detail and alert to any changes that may indicate an increased security risk or unusual situationPrevious Management or Supervisory experience  Experience using relevant technology and equipment  Experience in reporting and emergency response planning Excellent knowledge of security procedures Desirable: Experience of managing large diverse workforces",,,,
security installation engineers at ds security group ltd 2387926708,Social Security Specialist,,TRUE,Security Installation Engineers,security_guard,DS Security Group Ltd,"Sheffield, England, United Kingdom",,,,,
security manager at momentum security recruitment 2594610101,Security Guard,,TRUE,Security Manager,security_guard,Momentum Security Recruitment,"London, England, United Kingdom",,Mid-Senior level,Full-time,"Management, Other, and General Business",Security and Investigations and Military
